"No.","Time","Source","Destination","Protocol","Length","Info"
"68","130.999811","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=1, hop limit=64"
"69","131.014030","fe80::c801:25ff:fe50:0","ff02::1:ff00:3","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::3 from ca:01:25:50:00:00"
"70","131.015155","2001:1:1:1::3","fe80::c801:25ff:fe50:0","ICMPv6","86","Neighbor Advertisement 2001:1:1:1::3 (sol, ovr) is at 00:50:79:66:68:01"
"71","131.029234","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=1, hop limit=63"
"72","131.046513","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=2, hop limit=64"
"73","131.059227","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=2, hop limit=63"
"74","131.060185","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","214","Redirect is at 00:50:79:66:68:01"
"75","131.075541","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=3, hop limit=64"
"76","131.088876","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=3, hop limit=63"
"77","131.088876","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","214","Redirect is at 00:50:79:66:68:01"
"78","131.105560","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=4, hop limit=64"
"79","131.119855","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=4, hop limit=63"
"80","131.120917","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","214","Redirect is at 00:50:79:66:68:01"
"81","131.135183","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=5, hop limit=64"
"82","131.150753","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=5, hop limit=63"
"83","131.150753","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","214","Redirect is at 00:50:79:66:68:01"
"84","136.059666","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::2 from ca:01:25:50:00:00"
"85","137.079685","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::2 from ca:01:25:50:00:00"
"86","138.084029","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::2 from ca:01:25:50:00:00"
"87","140.026762","ca:01:25:50:00:00","ca:01:25:50:00:00","LOOP","60","Reply"
"88","150.013386","ca:01:25:50:00:00","ca:01:25:50:00:00","LOOP","60","Reply"
"89","159.990776","ca:01:25:50:00:00","ca:01:25:50:00:00","LOOP","60","Reply"
"90","169.315781","ca:01:25:50:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","397","Device ID: R1  Port ID: FastEthernet0/0  "
"91","170.016945","ca:01:25:50:00:00","ca:01:25:50:00:00","LOOP","60","Reply"
