"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","ca:01:25:50:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","397","Device ID: R1  Port ID: FastEthernet0/0  "
"2","2.705961","2001:1:1:1::2","ff02::1:ff00:1","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::1 from 00:50:79:66:68:00"
"3","2.735546","2001:1:1:1::1","2001:1:1:1::2","ICMPv6","86","Neighbor Advertisement 2001:1:1:1::1 (rtr, sol, ovr) is at ca:01:25:50:00:00"
"4","3.716774","2001:1:1:1::2","2001:1:1:1::1","ICMPv6","118","Echo (ping) request id=0x1c43, seq=1, hop limit=64 (reply in 5)"
"5","3.731799","2001:1:1:1::1","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x1c43, seq=1, hop limit=64 (request in 4)"
"6","3.747775","2001:1:1:1::2","2001:1:1:1::1","ICMPv6","118","Echo (ping) request id=0x1c43, seq=2, hop limit=64 (reply in 7)"
"7","3.761782","2001:1:1:1::1","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x1c43, seq=2, hop limit=64 (request in 6)"
"8","3.777313","2001:1:1:1::2","2001:1:1:1::1","ICMPv6","118","Echo (ping) request id=0x1c43, seq=3, hop limit=64 (reply in 9)"
"9","3.793315","2001:1:1:1::1","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x1c43, seq=3, hop limit=64 (request in 8)"
"10","3.807312","2001:1:1:1::2","2001:1:1:1::1","ICMPv6","118","Echo (ping) request id=0x1c43, seq=4, hop limit=64 (reply in 11)"
"11","3.822316","2001:1:1:1::1","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x1c43, seq=4, hop limit=64 (request in 10)"
"12","3.837148","2001:1:1:1::2","2001:1:1:1::1","ICMPv6","118","Echo (ping) request id=0x1c43, seq=5, hop limit=64 (reply in 13)"
"13","3.852146","2001:1:1:1::1","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x1c43, seq=5, hop limit=64 (request in 12)"
"14","7.746967","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::2 from ca:01:25:50:00:00"
"15","8.741995","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::2 from ca:01:25:50:00:00"
"16","9.737182","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::2 from ca:01:25:50:00:00"
"17","20.765121","2001:1:1:1::2","ff02::1:ff00:3","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::3 from 00:50:79:66:68:00"
"18","20.767178","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","86","Neighbor Advertisement 2001:1:1:1::3 (sol, ovr) is at 00:50:79:66:68:01"
"19","21.769707","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) request id=0x2e43, seq=1, hop limit=64 (reply in 22)"
"20","21.785126","fe80::c801:25ff:fe50:0","ff02::1:ff00:2","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::2 from ca:01:25:50:00:00"
"21","21.785126","2001:1:1:1::2","fe80::c801:25ff:fe50:0","ICMPv6","86","Neighbor Advertisement 2001:1:1:1::2 (sol, ovr) is at 00:50:79:66:68:00"
"22","21.815504","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x2e43, seq=1, hop limit=63 (request in 19)"
"23","21.831073","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) request id=0x2e43, seq=2, hop limit=64 (reply in 24)"
"24","21.846080","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x2e43, seq=2, hop limit=63 (request in 23)"
"25","21.861769","fe80::c801:25ff:fe50:0","ff02::1:ff00:3","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::3 from ca:01:25:50:00:00"
"26","21.861769","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) request id=0x2e43, seq=3, hop limit=64 (reply in 27)"
"27","21.877539","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x2e43, seq=3, hop limit=63 (request in 26)"
"28","21.892042","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) request id=0x2e43, seq=4, hop limit=64 (reply in 29)"
"29","21.907549","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x2e43, seq=4, hop limit=63 (request in 28)"
"30","21.923160","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) request id=0x2e43, seq=5, hop limit=64 (reply in 31)"
"31","21.937928","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x2e43, seq=5, hop limit=63 (request in 30)"
"32","52.876840","2001:1:1:1::3","ff02::1:ff00:1","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::1 from 00:50:79:66:68:01"
"33","60.012231","ca:01:25:50:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","397","Device ID: R1  Port ID: FastEthernet0/0  "
"34","80.691157","2001:1:1:1::3","ff02::1:ff00:2","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::2 from 00:50:79:66:68:01"
"35","80.692150","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","86","Neighbor Advertisement 2001:1:1:1::2 (sol, ovr) is at 00:50:79:66:68:00"
"36","81.691941","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) request id=0x6a43, seq=1, hop limit=64 (reply in 37)"
"37","81.692707","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=1, hop limit=64 (request in 36)"
"38","81.706926","fe80::c801:25ff:fe50:0","ff02::1:ff00:3","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::3 from ca:01:25:50:00:00"
"39","81.738412","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) request id=0x6a43, seq=2, hop limit=64 (reply in 40)"
"40","81.739409","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=2, hop limit=64 (request in 39)"
"41","81.753081","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","214","Redirect is at 00:50:79:66:68:01"
"42","81.767991","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) request id=0x6a43, seq=3, hop limit=64 (reply in 43)"
"43","81.768437","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=3, hop limit=64 (request in 42)"
"44","81.781772","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","214","Redirect is at 00:50:79:66:68:01"
"45","81.797400","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) request id=0x6a43, seq=4, hop limit=64 (reply in 46)"
"46","81.798456","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=4, hop limit=64 (request in 45)"
"47","81.813813","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","214","Redirect is at 00:50:79:66:68:01"
"48","81.828079","2001:1:1:1::3","2001:1:1:1::2","ICMPv6","118","Echo (ping) request id=0x6a43, seq=5, hop limit=64 (reply in 49)"
"49","81.828079","2001:1:1:1::2","2001:1:1:1::3","ICMPv6","118","Echo (ping) reply id=0x6a43, seq=5, hop limit=64 (request in 48)"
"50","81.843649","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","214","Redirect is at 00:50:79:66:68:01"
"51","86.752562","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::2 from ca:01:25:50:00:00"
"52","87.772581","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::2 from ca:01:25:50:00:00"
"53","88.776925","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::2 from ca:01:25:50:00:00"
"54","120.008677","ca:01:25:50:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","397","Device ID: R1  Port ID: FastEthernet0/0  "
"55","138.167306","fe80::c801:25ff:fe50:0","ff02::1","ICMPv6","118","Router Advertisement from ca:01:25:50:00:00"
